"data";"valor"
"01/07/2015";"77059"
"01/08/2015";"85026"
"01/09/2015";"94440"
"01/10/2015";"105529"
"01/11/2015";"116815"
"01/12/2015";"135942"
"01/01/2016";"5902"
"01/02/2016";"11893"
"01/03/2016";"18055"
"01/04/2016";"25123"
"01/05/2016";"31856"
"01/06/2016";"40125"
"01/07/2016";"48591"
"01/08/2016";"55480"
"01/09/2016";"62196"
"01/10/2016";"68961"
"01/11/2016";"76469"
"01/12/2016";"88257"
"01/01/2017";"4719"
"01/02/2017";"10015"
"01/03/2017";"15065"
"01/04/2017";"21378"
"01/05/2017";"27718"
"01/06/2017";"33515"
"01/07/2017";"40224"
"01/08/2017";"44946"
"01/09/2017";"49969"
"01/10/2017";"55172"
"01/11/2017";"61045"
"01/12/2017";"70751"
"01/01/2018";"3855"
"01/02/2018";"6811"
"01/03/2018";"11153"
"01/04/2018";"15226"
"01/05/2018";"22228"
"01/06/2018";"27756"
"01/07/2018";"33021"
"01/08/2018";"38811"
"01/09/2018";"43568"
"01/10/2018";"49050"
"01/11/2018";"55517"
"01/12/2018";"69303"
"01/01/2019";"5814"
"01/02/2019";"10428"
"01/03/2019";"14480"
"01/04/2019";"17387"
"01/05/2019";"21443"
"01/06/2019";"25177"
"01/07/2019";"28921"
"01/08/2019";"34230"
"01/09/2019";"38034"
"01/10/2019";"42587"
"01/11/2019";"49558"
"01/12/2019";"55314"
"01/01/2020";"2302"
"01/02/2020";"5187"
"01/03/2020";"8378"
"01/04/2020";"13645"
"01/05/2020";"19196"
"01/06/2020";"26024"
"01/07/2020";"32356"
"01/08/2020";"40120"
"01/09/2020";"45335"
"01/10/2020";"50995"
"01/11/2020";"56038"
"01/12/2020";"64921"
"01/01/2021";"2882"
"01/02/2021";"6264"
"01/03/2021";"11330"
"01/04/2021";"15284"
"01/05/2021";"19340"
"01/06/2021";"23903"
"01/07/2021";"29443"
"01/08/2021";"37528"
"01/09/2021";"45732"
"01/10/2021";"52338"
"01/11/2021";"58525"
"01/12/2021";"64302"
"01/01/2022";"3502"
"01/02/2022";"8890"
"01/03/2022";"14787"
"01/04/2022";"19745"
"01/05/2022";"27043"
"01/06/2022";"33446"
"01/07/2022";"38458"
"01/08/2022";"53872"
"01/09/2022";"62884"
