"data";"valor"
"01/07/2015";"21507"
"01/08/2015";"23542"
"01/09/2015";"26021"
"01/10/2015";"28293"
"01/11/2015";"30679"
"01/12/2015";"35153"
"01/01/2016";"1497"
"01/02/2016";"3517"
"01/03/2016";"5392"
"01/04/2016";"6598"
"01/05/2016";"8494"
"01/06/2016";"11080"
"01/07/2016";"14541"
"01/08/2016";"18455"
"01/09/2016";"20731"
"01/10/2016";"23028"
"01/11/2016";"24761"
"01/12/2016";"28609"
"01/01/2017";"933"
"01/02/2017";"1902"
"01/03/2017";"3117"
"01/04/2017";"4490"
"01/05/2017";"5842"
"01/06/2017";"6944"
"01/07/2017";"8730"
"01/08/2017";"9885"
"01/09/2017";"10711"
"01/10/2017";"11551"
"01/11/2017";"12646"
"01/12/2017";"14364"
"01/01/2018";"400"
"01/02/2018";"893"
"01/03/2018";"1668"
"01/04/2018";"2549"
"01/05/2018";"3602"
"01/06/2018";"5012"
"01/07/2018";"5737"
"01/08/2018";"6844"
"01/09/2018";"7955"
"01/10/2018";"9358"
"01/11/2018";"10571"
"01/12/2018";"12125"
"01/01/2019";"1022"
"01/02/2019";"2043"
"01/03/2019";"2574"
"01/04/2019";"3053"
"01/05/2019";"3746"
"01/06/2019";"4755"
"01/07/2019";"5264"
"01/08/2019";"5751"
"01/09/2019";"6270"
"01/10/2019";"6678"
"01/11/2019";"7202"
"01/12/2019";"8737"
"01/01/2020";"257"
"01/02/2020";"792"
"01/03/2020";"1294"
"01/04/2020";"2254"
"01/05/2020";"3078"
"01/06/2020";"4283"
"01/07/2020";"4883"
"01/08/2020";"7081"
"01/09/2020";"7525"
"01/10/2020";"8319"
"01/11/2020";"9338"
"01/12/2020";"12673"
"01/01/2021";"252"
"01/02/2021";"828"
"01/03/2021";"1427"
"01/04/2021";"2099"
"01/05/2021";"2992"
"01/06/2021";"3882"
"01/07/2021";"4387"
"01/08/2021";"5494"
"01/09/2021";"6604"
"01/10/2021";"7900"
"01/11/2021";"9338"
"01/12/2021";"10024"
"01/01/2022";"398"
"01/02/2022";"1430"
"01/03/2022";"3259"
"01/04/2022";"4791"
"01/05/2022";"6656"
"01/06/2022";"8060"
"01/07/2022";"8913"
"01/08/2022";"10500"
"01/09/2022";"12280"
