"data";"valor"
"01/08/2015";"50624"
"01/09/2015";"56470"
"01/10/2015";"64086"
"01/11/2015";"71712"
"01/12/2015";"85354"
"01/01/2016";"3259"
"01/02/2016";"6241"
"01/03/2016";"9462"
"01/04/2016";"13856"
"01/05/2016";"17535"
"01/06/2016";"21631"
"01/07/2016";"25610"
"01/08/2016";"27752"
"01/09/2016";"30889"
"01/10/2016";"34086"
"01/11/2016";"38475"
"01/12/2016";"44217"
"01/01/2017";"2499"
"01/02/2017";"5763"
"01/03/2017";"8584"
"01/04/2017";"12557"
"01/05/2017";"16324"
"01/06/2017";"19631"
"01/07/2017";"22972"
"01/08/2017";"25389"
"01/09/2017";"28442"
"01/10/2017";"31229"
"01/11/2017";"34638"
"01/12/2017";"41331"
"01/01/2018";"2501"
"01/02/2018";"4225"
"01/03/2018";"6718"
"01/04/2018";"8948"
"01/05/2018";"13821"
"01/06/2018";"16883"
"01/07/2018";"20451"
"01/08/2018";"23837"
"01/09/2018";"26077"
"01/10/2018";"28077"
"01/11/2018";"31643"
"01/12/2018";"42339"
"01/01/2019";"3380"
"01/02/2019";"5862"
"01/03/2019";"8351"
"01/04/2019";"9719"
"01/05/2019";"11965"
"01/06/2019";"14034"
"01/07/2019";"16427"
"01/08/2019";"19909"
"01/09/2019";"21506"
"01/10/2019";"23523"
"01/11/2019";"27817"
"01/12/2019";"30628"
"01/01/2020";"951"
"01/02/2020";"2450"
"01/03/2020";"4068"
"01/04/2020";"7660"
"01/05/2020";"11584"
"01/06/2020";"16465"
"01/07/2020";"21244"
"01/08/2020";"24907"
"01/09/2020";"27331"
"01/10/2020";"29427"
"01/11/2020";"31433"
"01/12/2020";"35038"
"01/01/2021";"1595"
"01/02/2021";"3635"
"01/03/2021";"7229"
"01/04/2021";"9855"
"01/05/2021";"12146"
"01/06/2021";"15071"
"01/07/2021";"18471"
"01/08/2021";"22927"
"01/09/2021";"27805"
"01/10/2021";"30824"
"01/11/2021";"33755"
"01/12/2021";"37172"
"01/01/2022";"2027"
"01/02/2022";"5479"
"01/03/2022";"8734"
"01/04/2022";"11493"
"01/05/2022";"16405"
"01/06/2022";"20729"
"01/07/2022";"23747"
"01/08/2022";"32471"
"01/09/2022";"35602"
