"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Participações Governamentais";"<p> Dados consolidados sobre as unidades de pesquisa credenciadas para a execução de projetos com recursos provenientes da cláusula de PD&amp;I.</p>
";"Gás Natural,Participação Especial,Petróleo,Preço de Referencia do Petróleo,Royalties";"69";"0";"41";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Pesquisa e Desenvolvimento e Inovação (PD&I)";"<p>A Lei nº 9.478, de 06/08/1997, estabeleceu para a Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP), dentre outras, a atribuição de estimular a pesquisa e a adoção de novas tecnologias para o setor. Diante disso, os contratos celebrados entre a Agência e as Empresas Petrolíferas para exploração, desenvolvimento e produção de petróleo e gás natural dispõem, desde a Rodada Zero, de cláusulas de Pesquisa, Desenvolvimento e Inovação (Cláusula de PD&amp;I) que estabelecem a obrigação de realização de despesas qualificadas como PD&amp;I pelas Empresas Petrolíferas.</p>
<p>A cláusula de PD&amp;I estabelece a aplicação de percentual da receita bruta da produção, segundo condições específicas de cada modalidade de contrato. A ANP é responsável pela análise, aprovação, acompanhamento e fiscalização da aplicação dos recursos oriundos da cláusula de PD&amp;I.</p>
";"Desenvolvimento,Desenvolvimento e Inovação,Inovação,Investimento em Pesquisa,Investimentos,PDI,Pesquisa Credenciadas,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento e Inovação,Programa de Recursos Humanos,Projetos de Pesquisa,Unidade de Pesquisa,empresas petrolíferas";"10";"0";"19";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Multas aplicadas - vencimento a partir de 2016";"<p>A ANP disponibiliza abaixo a relação de multas aplicadas com vencimento a partir de 2016.</p>
<p>Cabe ressaltar que a ANP apenas aplica as multas e que toda a receita delas decorrente é recolhida diretamente ao Tesouro Nacional. O agente econômico autuado pela ANP tem assegurado o direito à ampla defesa e ao contraditório em todo trâmite processual.</p>
";"autuações,multas";"4";"0";"11";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2019";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2019 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2009-2018. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2019 representadas em formato de dados abertos.</p>
";"Blocos Econômicos,LGN,PRH,Produção de LGN,Programa de Recursos Humanos ANP,bacia sedimentar,biocombustíveis,combustíveis líquidos,corrente de petróleo,derivados de petróleo,distribuidoras,etanol,etanol anidro,etanol hidratado,gás natural,levantamentos geofísicos,mar,petróleo,produção,regiões geográficas,reservas,rodadas de licitações,terra,vendas";"242";"0";"0";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"PMQC - Programa de Monitoramento da Qualidade dos Combustíveis";"<p>Levantamento dos indicadores gerais da qualidade dos combustíveis comercializados no País e a identificação de focos de não conformidade, visando à simetria de informações e a orientar e aperfeiçoar a atuação da área de fiscalização.</p>
";"biocombustíveis,controle de qualidade,diesel,etanol,gasolina";"158";"0";"43";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Previsão de Exploração";"<p>Os contratos para exploração e produção, via de regra, são constituídos por duas fases: exploração e produção. A fase de exploração precede a fase de produção e tem por objetivo descobrir e avaliar jazidas de petróleo e/ou gás natural.</p>
<p>O contrato estabelece um prazo durante o qual o concessionário ou contratado deve desenvolver atividades exploratórias de geologia e geofísica, visando ao maior conhecimento das bacias sedimentares brasileiras, em especial do bloco adquirido.</p>
<p>As atividades exploratórias envolvem a aquisição de dados sísmicos, gravimétricos, magnetométricos, geoquímicos, perfuração e avaliação de poços, dentre outras, devendo obrigatoriamente contemplar o cumprimento do Programa Exploratório Mínimo (PEM) acordado com a ANP.</p>
<p>Nessa consulta encontram-se os dados de quantidade de atividade e investimentos previstos na fase de exploração para o ano corrente relacionados as atividades de poço exploratório, sísmica 2D e sísmica 3D. As quantidades são indicadas junto a unidade da atividade, o investimento é indicado em valor de moeda Real. A consulta permite a visualização total ou classificada por ambiente: terra ou mar.</p>
";"Exploração,exploratório,investimento,petróleo,poços,sísmica,óleo e gás";"2";"0";"4";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de petróleo e gás natural nacional";"<p>Série histórica de produção de petróleo e gás natural, para campos em terra e plataformas marítimas, apresentados para Ano/Mês, por estado, bacia, campo, poço, com os dados de produção de óleo, condensado, gás associado e não associado, água, e injeção de gás, água, gás carbônico, nitrogênio, vapor de água, polímeros e outros fluidos, desde 1941 até a presente data.</p>
";"gás natural,petróleo,produçao";"107";"0";"314";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Ações de Fiscalização";"<p>Compete à Superintendência de Fiscalização do Abastecimento (SFI), com apoio dos Núcleos Regionais de Fiscalização, planejar e executar as ações de fiscalização dos agentes que compõem o abastecimento nacional de combustíveis em todo o território nacional.</p>
<p>Com base nessa competência e com o intuito de dar maior transparência às suas ações, a SFI disponibiliza os resultados das ações de fiscalização do abastecimento. Tais dados serão atualizados mensalmente, com prazo de dois meses entre o mês da fiscalização e o mês da publicação, devido ao atendimento de exigências legais e aspectos operacionais.</p>
<p>Os agentes econômicos autuados possuem direito ao contraditório e à ampla defesa assegurado pela lei. Dessa forma, somente após o julgamento definitivo do processo administrativo sancionador, gerado a partir da ação de fiscalização, será comprovado se o estabelecimento cometeu, ou não, os atos infracionais indicados no arquivo.</p>
";"Ação de Fiscalização,ações,fiscalização";"2";"0";"5";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Comercialização de Gás Natural";"<p>O conjunto dos dados abertos de comercialização de gás natural são constituídos de 2 arquivos:</p>
<p>Vendas às distribuidoras ou consumidores livres: São as vendas de gás natural para as companhias locais de distribuição de gás natural ou consumidores livres que tenham autorização dos estados para comprar diretamente o gás natural dos agentes vendedores. Os dados contém as informações de preços médios ponderados pelos volumes comercializados, bem como os próprios volumes comercializados, e são divulgados mensalmente. Os dados são agregados por regiões brasileiras de acordo com a necessidade de preservação do sigilo comercial dos agentes.</p>
<p>Vendas entre produtores: São as vendas de gás natural entre produtores de gás natural. Os dados contém as informações de preços médios ponderados pelos volumes comercializados, bem como os próprios volumes comercializados, e são divulgados mensalmente. Os dados são agregados por bacias sedimentares brasileiras de acordo com a necessidade de preservação do sigilo comercial dos agentes.</p>
";"Comercialização,Comercialização de Gás Natural,Consumidores,Distribuidoras,Gás Natural,Produtores,Vendas entre produtores,Vendas às distribuidoras ou consumidores livres";"3";"0";"23";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de petróleo e gás natural por estado e localização";"<p>As informações disponíveis são produção de petróleo; produção de LGN; produção de gás natural; reinjeção de gás natural; queima e perdas de gás natural; consumo próprio de gás natural; e gás natural disponível. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"LGN,gás natural,petróleo,produção";"14";"0";"66";"0"
